country_code,country_name_eng,country_name_kor,climate,language,utc,voltage, plug_type
LVA,Latvia,라트비아,"연평균 기온은 겨울에는 -5℃에서 -2℃ 사이, 여름에는 17℃에서 20℃, 강수량은 600mm, 해양성 기후의 영향을 받아, 겨울은 춥고 여름은 시원하며, 비가 자주 내림","라트비아어, 러시아어",2.0,230 V,"C, F"
RUS,Russia,러시아,"연평균 기온은 겨울에는 -20℃ 이하, 여름에는 기온이 20℃ 이상으로 상승, 강수량은 400mm에서 800mm 사이, 계절에 따라 기후 변화가 크고, 겨울은 매우 추움","러시아어, 타타르어, 우크라이나어",3.0,220 V,"C, F"
LBN,Lebanon,레바논,"연평균 기온은 18℃에서 25℃ 사이, 여름에는 30℃를 넘을 수 있음, 강수량은 계절에 따라 다르지만, 겨울에는 비가 많이 내리고 여름에는 거의 비가 오지 않음, 일반적으로 따뜻하고 건조한 여름과 비가 많은 겨울로 구분","아랍어, 프랑스어, 영어",2.0,220 V,"A, B, C, D, G"
LSO,Lesotho,레소토,"연평균 기온은 16℃에서 22℃ 사이, 강수량은 100mm에서 150mm 정도, 봄과 가을에 비가 많이 옴, 산악 지역의 영향을 받아 다소 건조하지만 온화하며, 여름에는 상대적으로 시원한 바람이 불기도 함","소토어어, 영어",2.0,220 V,M
ROU,Romania,루마니아,"연평균 기온은 겨울에는 0℃에서 -15℃까지 내려감, 여름에는 22℃에서 30℃, 강수량은 600mm이다, 대륙성 기후로, 겨울은 추운데 비교적 건조하고 여름은 따뜻하고 다소 습함","루마니아어, 헝가리어, 독일어",2.0,230 V,"C, F"
LUX,Luxembourg,룩셈부르크,"연평균 기온은 0℃에서 17℃ 사이, 강수량은 약 800mm, 강수량이 균등하게 분포, '클림트'로 불리는 지방은 증기압과 관련하여 조금 습기가 많은 편이며, 남부로 갈수록 기온이 높아짐","룩셈부르크어, 프랑스어, 독일어",1.0,230 V,"C, F"
RWA,Rwanda,르완다,"연평균 기온은 약 20℃, 강수량은 800mm에서 1200mm 사이,고원 지역에 위치하여 온화하고 우기에는 비가 자주 내림","키냐르완다어, 프랑스어, 영어",2.0,230 V,"C, J"
LBY,Libya,리비아,"연평균 기온은 25℃에서 30℃ 사이, 거의 대부분의 지역에서 강수량은 매우 낮음, 대부분 해안 지역을 제외한 내륙 지역은 거의 비가 오지 않음, 일년 내내 태양이 화창하며, 더운 기후",아랍어,2.0,"127 V, 230 V","C, D, F, L"
LTU,Lithuania,리투아니아,"연평균 기온은 겨울에는 -5℃에서 0℃, 여름에는 16℃에서 22℃, 강수량은 연간 600mm에서 800mm 정도, 봄과 가을에 강수량이 많음, 종종 바람이 강할 수 있지만 쾌적한 날씨가 많음",리투아니아어,2.0,220 V,"C, F"
LIE,Liechtenstein,리히텐슈타인,"연평균 기온은 약 10℃ 전후, 겨울에는 0℃ 아래로 내려가기도 함, 강수량은 약 1000mm 정도, 봄과 가을에 비가 많이 내림, 전반적으로 산악 지형 때문에 지리적인 영향을 받아 기후 변화가 많음","독일어, 프랑스어",1.0,230 V,"C, J"
MDG,Madagascar,마다가스카르,"연평균 기온은 20℃에서 25℃ 사이, 강수량은 지역에 따라 다르지만 일반적으로 많은 강수량, 열대 기후와 사하라 사막 기후가 혼합되어 있어 따뜻하고 습도가 높음","마다가스카르어, 프랑스어",3.0,"127 V, 220 V","C, D, E, J, K"
MHL,Marshall Islands,마셜제도,"연평균 기온은 약 28°C, 강수량은 약 2,500mm, 열대 기후로, 일년 내내 높은 습도와 온도를 유지, 연중 고온 다습하여 덥고 습기가 많은 환경","마셜어, 영어",12.0,120 V,"A, B"
FSM,Federated States of Micronesia,마이크로네시아연방,"연평균 기온은 26℃에서 31℃ 사이, 강수량은 약 2500~4000mm, 열대 기후의 영향으로 습기가 많음, 흐린 날씨가 많음","앵글랜드어, 파시피크어, 오크페어",11.0,120 V,"A, B"
MWI,Malawi,말라위,"연평균 기온은 20℃에서 25℃ 사이, 강수량은 북부 지역에서는 약 1000mm 정도, 남부 지역에서는 750mm 정도, 11월부터 4월까지 비가 많이 옴, 6월부터 9월까지는 건조한 날씨","치콰와, 앙간다, 인글리시",2.0,230 V,G
MYS,Malaysia,말레이시아,"연평균 기온은 25℃에서 30℃ 사이, 강수량이 풍부하고 비가 자주 내림. 연중 흐릿한 날씨가 많고, 태풍, 홍수 주의","말레이어, 중국어, 타밀어",8.0,240 V,"A, C, G, M"
MLI,Mali,말리,"연평균 기온은 30℃, 강수량은 북부 지역에서는 적고, 남부 지역에서는 다소 풍부, 대체로 건조한 기후, 사막 지역이 많아, 더위와 건조가 지속, 열대 지역에서는 국지성 폭우가 발생할 수 있음","프랑스어, 바마나어",0.0,220 V,"C, E"
MEX,Mexico,멕시코,"연평균 기온이 20℃에서 25℃ 사이, 강수량은 500mm에서 1000mm, 북부 지방은 건조하고 일교차가 크지만, 남부 지방은 습기가 많고 비가 자주 옴","스페인어, 나와틀어, 인디오 언어",-6.0,127 V,"A, B"
MCO,Monaco,모나코,"연평균 기온은 약 20℃, 강수량은 약 800mm, 지중해 기후의 영향으로, 겨울은 온화하고 여름은 따뜻하며 건조","포르투갈어, 중국어, 영어",8.0,230 V,"C, D, E, F"
MAR,Morocco,모로코,"연평균 기온은 20℃에서 30℃ 사이, 여름에는 38℃까지 올라감, 강수량은 북쪽이 100mm 미만으로 건조하고, 남쪽이 250mm 정도로 비교적 습기가 있음, 주로 사해풍이나 사하라 사막에서 불어오는 바람으로 건조함","아라비아어, 베를베르어, 프랑스어",0.0,"127 V, 220 V","C, E"
MUS,Mauritius,모리셔스,"연평균 기온은 22℃에서 31℃ 사이, 강수량은 1500mm로, 여름에는 좀 더 습도가 높아져 습한 날씨, 전체적으로 온화한 기후로 연중 햇빛이 많음","프랑스어, 크리올어",4.0,230 V,"C, G"
MRT,Mauritania,모리타니아,"연평균 기온은 약 25℃에서 30℃ 사이, 강수량은 매우 적어 건조, 일년 내내 맑은 날씨가 지속되고, 일교차가 큰 편이며 바람이 많이 붐","타갈로그어, 영어",8.0,220 V,C
MOZ,Mozambique,모잠비크,"연평균 기온은 25℃ 정도, 강수량은 약 1,000mm, 열대 사바나 기후로, 우기에는 비가 많이 오고 건기에는 건조","포르투갈어, 마쿼어",2.0,220 V,"C, F, M"
MNE,Montenegro,몬테네그로,"연평균 기온은 12℃에서 26℃ 사이, 강수량은 연간 1000mm 내외로 비교적 습기가 많음, 지중해성 기후가 특징으로 여름은 건조하고 더움, 겨울은 비가 많이 오며 서리나 눈도 올 수 있음","몬테네그로어, 세르비아어, 보스니아어",1.0,230 V,"C, F"
MDA,Moldova,몰도바,"연평균 기온은 4℃에서 25℃ 사이, 강수량은 400mm에서 600mm, 봄과 가을에는 강수량이 많아지지만 여름에는 건조, 일교차가 큼","몰도바어, 러시아어",2.0,220 V,"C, F"
MDV,Maldives,몰디브,"연평균 기온은 약 27℃에서 30℃ 사이에 위치, 강수량은 약 2000mm 정도, 열대 모노순 기후로, 일년 내내 온난하며 습한 날씨를 유지","다하히브, 도베하포서, 소니형",5.0,230 V,"A, C, D, G, J, K, L"
MLT,Malta,몰타,"연평균 기온은 여름에는 30℃ 전후로 높으며 거의 강우가 없어 건조, 겨울에는 기온이 15℃ 전후로 낮아지지만 여전히 따뜻하고 강수량이 증가함, 따뜻한 지중해 기후를 가지고 있어, 봄과 가을은 기온이 쾌적하고 안정적으로 유지","말테어어, 영어",1.0,230 V,G
MNG,Mongolia,몽골,"연평균 기온은 겨울에는 -30℃ 이하, 여름에는 30℃ 이상까지 올라감, 강수량은 서부 지역에서는 적고 동부 지역에서는 약간 더 많음, 건조한 기후를 가지고 있으며, 노지 지역이 많아 서늘한 건조한 바람이 자주 붐",몽골어,8.0,220 V,"C, E"
USA,United States of America,미국,"연평균 기온은 지역에 따라 다르며, 강수량도 다양하게 분포, 기후도 지역마다 차이가 있어서 화창한 날씨부터 추운 겨울까지 다양한 날씨",영어,-5.0,120 V,"A, B"
MMR,Myanmar,미얀마,"연평균 기온은 약 25℃에서 30℃ 사이, 강수량은 북쪽과 남쪽 모두에서 비교적 다양, 남부 지방은 연중 많은 강우, 열대 기후의 영향을 받아 연중 높은 온도를 유지하며, 봄과 여름에는 더운 계절로 맑은 날씨가 지속","버메즈어, 인도-유라곤어, 산스크리트어",6.0,230 V,"C, D, F, G"
VUT,Vanuatu,바누아투,"연평균 기온은 25℃에서 28℃ 사이, 매년 계절에 따른 강수량이 조금씩 다르지만, 보통 비가 많이 내리는 곳으로 알려져 있으며 습도도 높은 편",프랑스어,11.0,220 V,"C, G, I"
BHR,Bahrain,바레인,"연평균 기온은 20℃에서 30℃ 사이, 거의 비가 오지 않아 연간 강수량은 매우 적음, 사막 기후를 가지고 있으며, 습기가 거의 없어 건조하며 햇빛이 많이 비침","아랍어, 영어",3.0,230 V,G
BRB,Barbados,바베이도스,"연평균 기온은 약 27℃에서 30℃ 사이, 강수량은 약 2000mm, 열대 모노순 기후로, 일년 내내 온난하며 습한 날씨를 유지","포르투갈어, 크레올어",-4.0,115 V,"A, B"
VAT,Vatican,교황청,"연평균 기온은 약 15℃에서 20℃ 사이, 강수량은 700mm 미만, 온화하고 안정적이며 대체로 건조",아랍어,3.0,230 V,"F, L"
BHS,Bahamas,바하마,"연평균 기온은 24℃에서 29℃ 사이, 강수량은 1000mm, 비교적 습도가 높은 편, 대체로 따뜻하고 건조한 날씨",영어,-5.0,120 V,"A, B"
BGD,Bangladesh,방글라데시,"연평균 기온은 25℃에서 29℃ 사이, 강수량은 1600mm 이상, 열대 기후의 영향으로 습도가 높고 바람이 불거나 폭우가 내릴 수 있음","벵골어, 영어",6.0,220 V,"C, D, G, K"
BEN,Benin,베냉,"연평균 기온은 25℃, 강수량은 500mm 이하, 건조하고 맑은 날씨","프랑스어, 폰, 애웨",1.0,220 V,"C, E"
VEN,Venezuela,베네수엘라,"연평균 기온은 25℃에서 27℃ 사이, 강수량은 풍부해 한 해 내내 비가 내림. 고온다습한 기후로 거의 매일 열대성 폭우",스페인어,-4.0,120 V,"A, B"
VNM,Vietnam,베트남,"연평균 기온은 약 25℃에서 28℃ 사이, 강수량이 많음, 고온다습한 날씨가 지속, 북부 지역은 가끔 한파가 내리기도 함, 대체로 습도가 높고 태풍 영향을 많이 받음",베트남어,7.0,220 V,"A, C, G"
BEL,Belgium,벨기에,"연평균 기온은 6℃, 강수량은 800mm, 서유럽 대륙성 기후, 겨울은 춥고 습하며 여름은 상대적으로 서늘","프랑스어, 네덜란드어, 독일어",1.0,230 V,"C, E"
BLR,Belarus,벨라루스,"연평균 기온은 6℃ 정도, 강수량은 600mm에서 700mm 사이, 따뜻한 여름과 춥고 습한 겨울, 봄과 가을에는 일교차가 크며, 겨울에는 주로 강한 바람이 불기도 함","벨라루스어, 러시아어",3.0,220 V,"C, F"
BLZ,Belize,벨리즈,"연평균 기온은 24℃에서 29℃ 사이, 강수량은 약 2000mm 정도, 주로 5월부터 11월까지 옴. 열대 기후로 습도가 높음","영어, 스페인어",-6.0,"110 V, 220 V","A, B, G"
BIH,Bosnia-Herzegovina,보스니아헤르체고비나,"연평균 기온은 약 10℃에서 20℃ 사이, 강수량은 약 1,000mm 정도, 대륙성 기후로, 겨울은 춥고 여름은 덥고 습한 날씨를 유지","보스니아어, 세르비아어, 크로아티아어",1.0,230 V,F
BWA,Botswana,보츠와나,"연평균 기온은 20℃에서 25℃ 사이, 강수량은 적은 편, 따뜻한 날씨가 계속되며, 햇빛이 많아 건조","세트와나, 콜베, 영어",2.0,230 V,"D, G, M"
BOL,Bolivia,볼리비아,"연평균 기온이 25℃에서 30℃ 사이, 강수량은 500mm에서 2000mm 사이, 대체로 건조하고 습기가 낮으며, 안정된 기후","스페인어, 아이마라어, 퀘추아어",-4.0,"115 V, 230 V","A, C"
BDI,Burundi,부룬디,"연평균 기온은 20℃에서 27℃ 사이, 봄과 가을에는 강수량이 많으며, 여름은 건조, 겨울은 시원한 기후","키냐룬다어, 프랑스어, 스와힐리어",2.0,220 V,"C, E"
BFA,Burkina Faso,부르키나파소,"연평균 기온이 25℃ 이상, 강수량은 해가 다가올수록 증가, 아열대 기후로 건조한 시기와 비가 많이 오는 6월부터 10월까지의 장마철이 있어 강수량이 높음","프랑스어, 무어어",0.0,220 V,"C, E"
BTN,Bhutan,부탄,"연평균 기온이 10℃에서 30℃ 사이, 강수량은 많은 지역에서 1,000mm 이상, 따뜻하고 습하며 고산 지대에서는 서늘한 기후가 특징","더조엘목, 니안다르특어, 어촘카",6.0,230 V,"C, D, F, G, M"
MKD,North Macedonia,북마케도니아,"연평균 기온은 20℃에서 30℃ 사이, 강수량은 500mm 이상, 온대 기후에 속하며 여름은 덥고 건조, 겨울은 서늘하고 습기가 많음 ","마케도니아어, 알바니아어, 터키어",1.0,230 V,F
BGR,Bulgaria,불가리아,"연평균 기온은 13℃, 강수량은 북부 지방에서 650mm 정도, 남부 지방에서는 1200mm 이상, 대체로 습한 대륙 기후, 겨울은 추운데 비교적 적은 강수량, 여름은 따뜻하고 건조",불가리아어,2.0,230 V,"C, F"
BRA,Brazil,브라질,"연평균 기온은 약 25℃, 강수량은 지역에 따라 1,000mm에서 2,000mm, 열대 및 아열대 기후로, 대부분 지역에서 온난하며 습한 날씨를 유지","포르투갈어, 미란다어, 하치산어",-3.0,"127 V, 220 V","C, N"
BRN,Brunei,브루나이,"연평균 기온은 약 28℃, 연간 강수량은 약 2,500mm, 열대 우림 기후로, 일년 내내 높은 습도와 온도를 유지","말레이어, 영어",8.0,230 V,G
WSM,Samoa,사모아,"연평균 기온은 25℃에서 28℃ 사이, 강수량은 약 3,000mm, 열대 기후로, 일년 내내 높은 습도와 온도를 유지",영어,-11.0,230 V,I
SAU,Saudi Arabia,사우디아라비아,"연평균 기온은 일년 내내 높고, 여름에는 45℃ 이상으로 치솟을 수 있음, 대부분의 지역에서 강수량이 매우 적어 거의 비가 오지 않음, 서부 지역은 약간의 강수량이 있지만 대부분의 지역은 매우 건조",아랍어,3.0,"220 V, 230 V",G
CYP,Cyprus,사이프러스,"연평균 기온은 20°C 정도, 연간 강수량은 500mm 내외, 지중해성 기후로, 여름은 건조하고 겨울은 비가 자주 내림","그리스어, 터키어, 영어",2.0,240 V,G
SMR,San Marino,산마리노,"연평균 기온은 여름에는 25℃ 정도, 겨울에는 0℃ 내외, 강수량은 연간 평균 800mm, 가을과 겨울에 비가 많이 내림, 봄과 여름은 비교적 건조하고 맑은 날씨가 많이 나타남, 바다 근처에서 바람이 간혹 강하게 불기도 함",이탈리아어,1.0,230 V,"C, F, L"
STP,Sao Tome and Principe,상투메프린시페,"연평균 기온은 약 26°C, 연간 강수량은 약 1000mm, 열대 우림 기후로, 습기가 많고 연중 높은 온도를 유지","포르투갈어, 크레올어",0.0,220 V,"C, F"
SEN,Senegal,세네갈,"연평균 기온은 약 25℃에서 30℃ 사이, 강수량은 북부 지역에서는 거의 없고 남부 지역에서는 600mm에서 1200mm 정도로 비교적 많음, 건조한 사막 기후에서 더 습해지는 새퍼우드 기후까지 다양한 기후가 있음",프랑스어,0.0,230 V,"C, D, E, K"
SRB,Serbia,세르비아,"연평균 기온은 0℃에서 23℃, 강수량은 연간 600mm, 봄과 가을에는 기온 변화가 크고 강수량이 많으며, 겨울은 눈이 많이 내림","세르비아어, 헝가리어, 보스니아크어",1.0,230 V,"C, F"
SYC,Seychelles,세이셸,"연평균 기온은 연간 27℃, 12월부터 4월까지가 건조한 고무의 계절로, 11월과 5월부터 10월까지는 강수량이 많음, 일년 내내 따뜻한 날씨",프랑스어,3.0,240 V,G
LCA,Saint Lucia,세인트 루시아,"연평균 기온이 24℃에서 29℃ 사이, 강수량은 1,500mm에서 3,000mm, 비가 빈번하게 오는 습도가 높은 기후",아랍어,2.0,240 V,G
VCT,Saint Vincent and the Grenadines,세인트 빈센트 그레나딘,"연평균 기온은 25℃, 강수량은 2000mm, 열대 기후에 속하며, 고온 다습한 날씨가 지속되며, 맑은 날도 많아 햇빛이 풍부",영어,-4.0,"110 V, 230 V","A, B, G"
KNA,Saint Kitts and Nevis,세인트 키츠 네비스,"연평균 기온은 24℃에서 30℃, 강수량은 1년 내내 균일하게 내림, 열대 기후의 영향으로 습도가 높고, 일년 내내 따뜻한 날씨가 지속","영어, 크리올어",-4.0,230 V,"A, B, D, G"
SOM,Somalia,소말리아,"연평균 기온은 25℃ 이상, 강수량은 약 500mm 이하, 사막 기후와 습기가 적은 아열대 사막 기후","소말리어, 아랍어",3.0,220 V,C
SLB,Solomon Islands,솔로몬제도,"연평균 기온은 27℃ 이상, 강수량은 2000mm, 열대 기후로, 습기가 많고 고온 다습, 일년 내내 더위가 심함",영어,11.0,220 V,"G, I"
SDN,Sudan,수단,"연평균 기온은 약 27℃, 강수량은 별로 높지 않으며 건조한 기후, 아주 가끔 비가 내리고, 일조량이 풍부","아랍어, 영어",3.0,230 V,"C, D"
SUR,Suriname,수리남,"연평균 기온은 25℃, 강수량은 1500mm, 열대 기후로, 온난하고 습함, 여름에는 덥고 비가 많음","포르투갈어, 아마존어",-4.0,127 V,"C, F"
LKA,Sri Lanka,스리랑카,"연평균 기온은 27℃에서 30℃, 강수량은 북동 2500mm, 남서 1750mm 내외로 많음, 열대성 기후로 연중 덥고두 계절로 나뉘며 고온다습하고 습기가 많음","싱할라어, 타밀어, 영어",5.5,230 V,"D, M, G"
SWE,Sweden,스웨덴,"연평균 기온은 남부 지방에서 약 7℃에서 10℃, 북부 지방에서는 -10℃에서 2℃ 정도, 강수량은 약 500mm부터 1,000mm, 겨울에는 눈이 많이 내림, 대체로 서늘한 기후를 가지고 있으며, 여름에는 상대적으로 따뜻하고 겨울에는 추위가 심함","스웨덴어, 핀란드어, 영어",1.0,230 V,"C, F"
CHE,Swiss,스위스,"연평균 기온은 여름에는 20℃, 겨울에는 이 0℃ 내외, 강수량은 약 1000mm로, 비는 주로 봄과 가을에 내리며 겨울에는 눈으로 내릴 때도 있음","독일어, 프랑스어, 이탈리아어",1.0,230 V,"C, J"
ESP,Spain,스페인,"연평균 기온은 약 15℃에서 25℃, 강수량은 300mm 미만, 여름에는 무척 더워지고 건조, 겨울에는 좀 더 서늘하고 강우가 조금 늘어남, 지중해 기후","스페인어, 카탈로니아어, 갈리시아어",1.0,230 V,"C, F"
SVK,Slovakia,슬로바키아,"연평균 기온은 8℃, 강수량은 700mm, 대륙성 기후, 겨울은 추운 날씨와 눈이 많은 반면, 여름은 따뜻하고 강우가 많음",슬로바키아어,1.0,230 V,"C, E"
SVN,Slovenia,슬로베니아,"연평균 기온은 10℃ 전후, 강수량은 1,000mm 내외, 겨울에는 많은 양의 강우가 내림, 여름은 따뜻하고 건조한 편이며, 가을에는 강수량이 증가, 종종 안개가 많이 낌",슬로베니아어,1.0,230 V,"C, F"
SYR,Syria,시리아,"연평균 기온은 여름에는 30℃ 이상으로 상승 함, 겨울은 10℃ 내외, 강수량은 100mm 정도, 주로 가을부터 봄까지 강우가 나타남, 연중 건조하고 더운 기후","아랍어, 쿠르드어, 아람어",2.0,220 V,"C, E, L"
SLE,Sierra Leone,시에라리온,"연평균 기온은 26℃에서 28℃ 사이, 고강수량 지역으로 알려져 있음, 열대 기후로 장마철과 건조한 계절이 번갈아 가며 나타남","크리올, 영어",0.0,230 V,"D, G"
SGP,Singapore,싱가포르,"연평균 기온은 25℃에서 31℃ 사이, 강수량은 약 2400mm, 열대 기후이며, 일년 내내 무덥고 습함","영어, 중국어, 말레이어",8.0,230 V,"C, G, M"
ARE,United Arab Emirates,아랍에미리트,"연평균 기온은 여름에는 40℃ 이상으로 매우 높고, 겨울에도 20℃ 이상의 따뜻한 기후, 강수량은 적고 거의 비가 오지 않아, 건조한 환경",아랍어,4.0,220 V,"C, D, G"
ARM,Armenia,아르메니아,"연평균 기온은 16℃에서 25℃ 사이, 강수량은 200mm에서 600mm, 건조한 기후로 뜨거운 여름과 춥고 건조한 겨울이 특징","아르메니아어, 러시아어",4.0,230 V,"C, F"
ARG,Argentina,아르헨티나,"연평균 기온은 15℃에서 25℃ 사이, 강수량은 많은 지역에서 강수량이 높음, 열대 기후 지역도 있으며 안데스 산맥 등 고지대 지역은 서늘할 수 있음",스페인어,-3.0,220 V,"C, I"
